event1,eid1,event2,eid2,signal,annotation,Doc name,Doc ID,sentence
filed,e4,said,e1,charge,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"Tzipi Livni, leader of a key Israeli opposition party, said Monday she would be willing to face arrest to challenge the validity of war crimes charges reportedly filed against her in a British court."""
filed,e4,challenge,e3,charge,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"Tzipi Livni, leader of a key Israeli opposition party, said Monday she would be willing to face arrest to challenge the validity of war crimes charges reportedly filed against her in a British court."""
said,e1,challenge,e3,charge,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"Tzipi Livni, leader of a key Israeli opposition party, said Monday she would be willing to face arrest to challenge the validity of war crimes charges reportedly filed against her in a British court."""
ended,e17,served,e16,end,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,Livni had served as Israel's foreign minister during an Israeli three-week military offensive against Hamas in Gaza that ended exactly one year ago.
helped,e36,conducted,e34,support,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
helped,e36,said,e33,support,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
helped,e36,traveled,e37,support,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
conducted,e34,said,e33,support,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
conducted,e34,traveled,e37,support,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
said,e33,traveled,e37,support,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"She said that the Israeli military had already conducted its own investigation into the actions of its soldiers, but that she did not necessarily support a public inquiry in Israel, unless it helped Israeli soldiers when they traveled outside Israel."""
said,e49,fighting,e48,end,0,2010.01.18.uk.israel.livni.tml,2010.01.18.uk.israel.livni,"One year after end of fighting in Gaza, Livni said that the Israeli blockade of Gaza would stay in place."""
host,e2,prepares,e1,prepare,0,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"As she prepares to host her first show, Crowley writes on what viewers should expect."
host,e2,writes,e3,prepare,0,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"As she prepares to host her first show, Crowley writes on what viewers should expect."
prepares,e1,writes,e3,prepare,0,2010.02.05.sotu.crowley.column.tml,2010.02.05.sotu.crowley.column,"As she prepares to host her first show, Crowley writes on what viewers should expect."
build,e10,trained,e9,design,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"The group, Article 25, worked with local craftspeople to develop a design that could withstand earthquakes and trained them to build the structures."
build,e10,develop,e7,design,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"The group, Article 25, worked with local craftspeople to develop a design that could withstand earthquakes and trained them to build the structures."
build,e10,worked,e6,design,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"The group, Article 25, worked with local craftspeople to develop a design that could withstand earthquakes and trained them to build the structures."
trained,e9,develop,e7,design,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"The group, Article 25, worked with local craftspeople to develop a design that could withstand earthquakes and trained them to build the structures."
trained,e9,worked,e6,design,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"The group, Article 25, worked with local craftspeople to develop a design that could withstand earthquakes and trained them to build the structures."
develop,e7,worked,e6,design,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"The group, Article 25, worked with local craftspeople to develop a design that could withstand earthquakes and trained them to build the structures."
turn,e40,need,e39,point,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"But there is going to come a point very shortly when minds need to turn to longer-term construction planning, and that's where architects and engineers have a role to play."
afford,e48,working,e44,design,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"But the important factor is that it's still ongoing, that we need to be there for the long run....What we were doing there was working with local NGOs [ non-governmental organizations ], particularly with Muslim Aid, to identify the most vulnerable members of the community who could most benefit from our architectural and design skills, and could n't afford to buy in their own construction expertise, and would be most marginalized and vulnerable in the future."
lost,e84,dissipated,e83,design,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"What that generates is a design which flexes when the earthquake strikes, the energy of the earthquake is dissipated through the many framing elements of the building, and the energy is lost in the friction between the timber and the stone infill....A concrete-block building which is n't able to flex is more apt to collapse...."
needed,e120,falls,e121,point,0,2010.02.03.cross.quake.resistant.housing.tml,2010.02.03.cross.quake.resistant.housing,"The funding for short-term relief is good and is needed, but very often at the point of about a year, that funding just falls off a cliff."
told,e51,started,e54,want,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
told,e51,wanted,e52,want,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
told,e51,crying,e55,want,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
started,e54,wanted,e52,want,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
started,e54,crying,e55,want,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
wanted,e52,crying,e55,want,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,He told me he wanted to see his mummy then I started crying and said'I do n't think you're ever going to see your mummy again.'
want,e68,said,e71,want,0,2010.01.13.mexico.human.traffic.drug.tml,2010.01.13.mexico.human.traffic.drug,"I want to tell the story so that in the near future, other girls do n't go through the same, "" Maria said."""
using,e34,magnified,e31,ideal,0,2010.01.08.facebook.bra.color.tml,2010.01.08.facebook.bra.color,"It's an ideal example of how an individual voice can be magnified to create awareness for a good cause and ignite action among millions by using a site like Facebook. """
tried,e50,falling,e52,try,0,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"Many of our staff have tried to leave, but were unsuccessful because the walls from buildings and private residences are falling into the streets, so that it has pretty much blocked significantly most of the traffic. """
tried,e50,blocked,e53,try,0,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"Many of our staff have tried to leave, but were unsuccessful because the walls from buildings and private residences are falling into the streets, so that it has pretty much blocked significantly most of the traffic. """
falling,e52,blocked,e53,try,0,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"Many of our staff have tried to leave, but were unsuccessful because the walls from buildings and private residences are falling into the streets, so that it has pretty much blocked significantly most of the traffic. """
said,e104,prepared,e105,prepare,0,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"At the Pentagon, the U.S. military said humanitarian aid was being prepared for shipping, but it was not yet clear where or how it would be sent."
said,e104,sent,e106,prepare,0,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"At the Pentagon, the U.S. military said humanitarian aid was being prepared for shipping, but it was not yet clear where or how it would be sent."
prepared,e105,sent,e106,prepare,0,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"At the Pentagon, the U.S. military said humanitarian aid was being prepared for shipping, but it was not yet clear where or how it would be sent."
growing,e17,decide,e19,decide,0,2010.01.07.water.justice.tml,2010.01.07.water.justice,"The reality is that there is more demand than supply, and the increase in demand and decrease in supply is growing, so it makes a big difference how we're going to decide who's going to allocate water. """
growing,e17,decide,e19,demand,0,2010.01.07.water.justice.tml,2010.01.07.water.justice,"The reality is that there is more demand than supply, and the increase in demand and decrease in supply is growing, so it makes a big difference how we're going to decide who's going to allocate water. """
reported,e11,delivering,e9,aim,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"By mass producing and delivering these modern arms, Iran's department of defense aims to increase its ground and air defenses, the semi-official Fars news agency reported."
coincided,e12,toppled,e14,mark,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"The announcement of new missile production coincided with a 10-day period marking the 31st anniversary of the 1979 Islamic revolution that toppled the U.S. - backed shah."""
coincided,e12,marking,e13,mark,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"The announcement of new missile production coincided with a 10-day period marking the 31st anniversary of the 1979 Islamic revolution that toppled the U.S. - backed shah."""
toppled,e14,marking,e13,mark,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"The announcement of new missile production coincided with a 10-day period marking the 31st anniversary of the 1979 Islamic revolution that toppled the U.S. - backed shah."""
suspects,e26,says,e29,try,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"The West suspects Iran of trying to build nuclear bombs, but Iran says its program is for peaceful power generation."
said,e30,build,e36,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
said,e30,plans,e34,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
said,e30,use,e35,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
said,e30,reached,e32,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
said,e30,believes,e31,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
build,e36,plans,e34,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
build,e36,use,e35,plan,2,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
build,e36,reached,e32,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
build,e36,believes,e31,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
plans,e34,use,e35,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
plans,e34,reached,e32,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
plans,e34,believes,e31,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
use,e35,reached,e32,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
use,e35,believes,e31,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
reached,e32,believes,e31,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
said,e30,build,e36,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
said,e30,plans,e34,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
said,e30,use,e35,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
said,e30,reached,e32,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
said,e30,believes,e31,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
build,e36,plans,e34,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
build,e36,use,e35,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
build,e36,reached,e32,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
build,e36,believes,e31,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
plans,e34,use,e35,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
plans,e34,reached,e32,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
plans,e34,believes,e31,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
use,e35,reached,e32,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
use,e35,believes,e31,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
reached,e32,believes,e31,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
said,e30,build,e36,demand,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
said,e30,plans,e34,demand,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
said,e30,use,e35,demand,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
said,e30,reached,e32,demand,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
said,e30,believes,e31,demand,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
build,e36,plans,e34,demand,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
build,e36,use,e35,demand,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
build,e36,reached,e32,demand,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
build,e36,believes,e31,demand,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
plans,e34,use,e35,demand,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
plans,e34,reached,e32,demand,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
plans,e34,believes,e31,demand,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
use,e35,reached,e32,demand,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
use,e35,believes,e31,demand,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
reached,e32,believes,e31,demand,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons."""
proposed,e54,accepted,e53,idea,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"Iranian diplomats had initially accepted the idea, which was proposed by the West, but then rejected a plan put forth by the International Atomic Energy Agency, the atomic watchdog of the United Nations."""
proposed,e54,rejected,e55,idea,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"Iranian diplomats had initially accepted the idea, which was proposed by the West, but then rejected a plan put forth by the International Atomic Energy Agency, the atomic watchdog of the United Nations."""
accepted,e53,rejected,e55,idea,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"Iranian diplomats had initially accepted the idea, which was proposed by the West, but then rejected a plan put forth by the International Atomic Energy Agency, the atomic watchdog of the United Nations."""
proposed,e54,accepted,e53,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"Iranian diplomats had initially accepted the idea, which was proposed by the West, but then rejected a plan put forth by the International Atomic Energy Agency, the atomic watchdog of the United Nations."""
proposed,e54,rejected,e55,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"Iranian diplomats had initially accepted the idea, which was proposed by the West, but then rejected a plan put forth by the International Atomic Energy Agency, the atomic watchdog of the United Nations."""
accepted,e53,rejected,e55,plan,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"Iranian diplomats had initially accepted the idea, which was proposed by the West, but then rejected a plan put forth by the International Atomic Energy Agency, the atomic watchdog of the United Nations."""
proposed,e54,accepted,e53,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"Iranian diplomats had initially accepted the idea, which was proposed by the West, but then rejected a plan put forth by the International Atomic Energy Agency, the atomic watchdog of the United Nations."""
proposed,e54,rejected,e55,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"Iranian diplomats had initially accepted the idea, which was proposed by the West, but then rejected a plan put forth by the International Atomic Energy Agency, the atomic watchdog of the United Nations."""
accepted,e53,rejected,e55,propose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,"Iranian diplomats had initially accepted the idea, which was proposed by the West, but then rejected a plan put forth by the International Atomic Energy Agency, the atomic watchdog of the United Nations."""
intended,e79,insists,e78,insist,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,Iran insists its nuclear program is intended solely for peaceful purposes.
intended,e79,insists,e78,intend,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,Iran insists its nuclear program is intended solely for peaceful purposes.
intended,e79,insists,e78,purpose,0,2010.02.06.iran.nuclear.tml,2010.02.06.iran.nuclear,Iran insists its nuclear program is intended solely for peaceful purposes.
looking,e45,took,e44,plan,0,2010.02.26.census.redistricting.tml,2010.02.26.census.redistricting,"The Supreme Court in 2006 took up a case looking at a redistricting plan promoted by then-U.S.House Majority Leader Tom DeLay, R-Texas."
looking,e45,promoted,e46,plan,0,2010.02.26.census.redistricting.tml,2010.02.26.census.redistricting,"The Supreme Court in 2006 took up a case looking at a redistricting plan promoted by then-U.S.House Majority Leader Tom DeLay, R-Texas."
took,e44,promoted,e46,plan,0,2010.02.26.census.redistricting.tml,2010.02.26.census.redistricting,"The Supreme Court in 2006 took up a case looking at a redistricting plan promoted by then-U.S.House Majority Leader Tom DeLay, R-Texas."
adopted,e50,called,e51,plan,0,2010.02.26.census.redistricting.tml,2010.02.26.census.redistricting,The Texas legislature adopted the plan in 2003 after three contentious special sessions called by Republican Gov.
sparked,e53,led,e52,plan,0,2010.02.26.census.redistricting.tml,2010.02.26.census.redistricting,The legislative plan led to the 2004 ouster of four Democratic incumbents from Congress and sparked a bitter partisan battle.
found,e57,tossed,e56,plan,0,2010.02.26.census.redistricting.tml,2010.02.26.census.redistricting,"The court ruled that the redistricting plan unfairly weakened the voting strength of Latinos in two congressional districts and tossed out a portion of the congressional map, but found the overall redistricting plan engineered by state Republicans acceptable."
found,e57,ruled,e54,plan,0,2010.02.26.census.redistricting.tml,2010.02.26.census.redistricting,"The court ruled that the redistricting plan unfairly weakened the voting strength of Latinos in two congressional districts and tossed out a portion of the congressional map, but found the overall redistricting plan engineered by state Republicans acceptable."
found,e57,weakened,e55,plan,0,2010.02.26.census.redistricting.tml,2010.02.26.census.redistricting,"The court ruled that the redistricting plan unfairly weakened the voting strength of Latinos in two congressional districts and tossed out a portion of the congressional map, but found the overall redistricting plan engineered by state Republicans acceptable."
