event1,eid1,event2,eid2,signal,Doc name,Doc ID ,sentence
authorized,e53,purchase,e54,authorize,wsj_0520.tml, WSJ891030-0181 ,"In addition, the company's board authorized the purchase of up to an additional one million shares. "
focus,e104,moves,e46,allow,wsj_0376.tml, WSJ891031-0138 ,"In addition, Courtaulds said the moves are logical because they will allow both the chemicals and textile businesses to focus more closely on core activities.    "
focus,e104,said,e45,allow,wsj_0376.tml, WSJ891031-0138 ,"In addition, Courtaulds said the moves are logical because they will allow both the chemicals and textile businesses to focus more closely on core activities.    "
focus,e104,allow,e47,allow,wsj_0376.tml, WSJ891031-0138 ,"In addition, Courtaulds said the moves are logical because they will allow both the chemicals and textile businesses to focus more closely on core activities.    "
moves,e46,said,e45,allow,wsj_0376.tml, WSJ891031-0138 ,"In addition, Courtaulds said the moves are logical because they will allow both the chemicals and textile businesses to focus more closely on core activities.    "
moves,e46,allow,e47,allow,wsj_0376.tml, WSJ891031-0138 ,"In addition, Courtaulds said the moves are logical because they will allow both the chemicals and textile businesses to focus more closely on core activities.    "
said,e45,allow,e47,allow,wsj_0376.tml, WSJ891031-0138 ,"In addition, Courtaulds said the moves are logical because they will allow both the chemicals and textile businesses to focus more closely on core activities.    "
meet,e18,qualify,e13,qualify,wsj_0527.tml, WSJ891030-0174 ,"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. "
meet,e18,said,e12,qualify,wsj_0527.tml, WSJ891030-0174 ,"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. "
meet,e18,criteria,e20,qualify,wsj_0527.tml, WSJ891030-0174 ,"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. "
meet,e18,requirements,e16,qualify,wsj_0527.tml, WSJ891030-0174 ,"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. "
qualify,e13,said,e12,qualify,wsj_0527.tml, WSJ891030-0174 ,"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. "
qualify,e13,criteria,e20,qualify,wsj_0527.tml, WSJ891030-0174 ,"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. "
qualify,e13,requirements,e16,qualify,wsj_0527.tml, WSJ891030-0174 ,"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. "
said,e12,criteria,e20,qualify,wsj_0527.tml, WSJ891030-0174 ,"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. "
said,e12,requirements,e16,qualify,wsj_0527.tml, WSJ891030-0174 ,"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. "
criteria,e20,requirements,e16,qualify,wsj_0527.tml, WSJ891030-0174 ,"A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock does n't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. "
transaction,e30,issue,e15,warrant,wsj_0165.tml, WSJ891102-0026 ,"Depending upon how many warrants and options  are exercised prior to completion of the transaction, Heritage would issue between 1.8 million and 2.35 million preferred shares, a Heritage spokesman estimated. "
transaction,e30,estimated,e17,warrant,wsj_0165.tml, WSJ891102-0026 ,"Depending upon how many warrants and options  are exercised prior to completion of the transaction, Heritage would issue between 1.8 million and 2.35 million preferred shares, a Heritage spokesman estimated. "
transaction,e30,exercised,e14,warrant,wsj_0165.tml, WSJ891102-0026 ,"Depending upon how many warrants and options  are exercised prior to completion of the transaction, Heritage would issue between 1.8 million and 2.35 million preferred shares, a Heritage spokesman estimated. "
transaction,e30,completion,e29,warrant,wsj_0165.tml, WSJ891102-0026 ,"Depending upon how many warrants and options  are exercised prior to completion of the transaction, Heritage would issue between 1.8 million and 2.35 million preferred shares, a Heritage spokesman estimated. "
issue,e15,estimated,e17,warrant,wsj_0165.tml, WSJ891102-0026 ,"Depending upon how many warrants and options  are exercised prior to completion of the transaction, Heritage would issue between 1.8 million and 2.35 million preferred shares, a Heritage spokesman estimated. "
issue,e15,exercised,e14,warrant,wsj_0165.tml, WSJ891102-0026 ,"Depending upon how many warrants and options  are exercised prior to completion of the transaction, Heritage would issue between 1.8 million and 2.35 million preferred shares, a Heritage spokesman estimated. "
issue,e15,completion,e29,warrant,wsj_0165.tml, WSJ891102-0026 ,"Depending upon how many warrants and options  are exercised prior to completion of the transaction, Heritage would issue between 1.8 million and 2.35 million preferred shares, a Heritage spokesman estimated. "
estimated,e17,exercised,e14,warrant,wsj_0165.tml, WSJ891102-0026 ,"Depending upon how many warrants and options  are exercised prior to completion of the transaction, Heritage would issue between 1.8 million and 2.35 million preferred shares, a Heritage spokesman estimated. "
estimated,e17,completion,e29,warrant,wsj_0165.tml, WSJ891102-0026 ,"Depending upon how many warrants and options  are exercised prior to completion of the transaction, Heritage would issue between 1.8 million and 2.35 million preferred shares, a Heritage spokesman estimated. "
exercised,e14,completion,e29,warrant,wsj_0165.tml, WSJ891102-0026 ,"Depending upon how many warrants and options  are exercised prior to completion of the transaction, Heritage would issue between 1.8 million and 2.35 million preferred shares, a Heritage spokesman estimated. "
extension,e29,completed,e34,allow,wsj_0159.tml, WSJ891102-0032 ,DD Acquisition said the extension is to allow this process to be completed. 
extension,e29,said,e28,allow,wsj_0159.tml, WSJ891102-0032 ,DD Acquisition said the extension is to allow this process to be completed. 
extension,e29,allow,e206,allow,wsj_0159.tml, WSJ891102-0032 ,DD Acquisition said the extension is to allow this process to be completed. 
completed,e34,said,e28,allow,wsj_0159.tml, WSJ891102-0032 ,DD Acquisition said the extension is to allow this process to be completed. 
completed,e34,allow,e206,allow,wsj_0159.tml, WSJ891102-0032 ,DD Acquisition said the extension is to allow this process to be completed. 
said,e28,allow,e206,allow,wsj_0159.tml, WSJ891102-0032 ,DD Acquisition said the extension is to allow this process to be completed. 
allow,e41,said,e40,allow,wsj_0904.tml, WSJ891026-0155 ,"Mr. Swavely said the new space will allow Compaq to increase the manufacturing capacity of its plant in Erskine, Scotland.    "
allow,e41,increase,e43,allow,wsj_0904.tml, WSJ891026-0155 ,"Mr. Swavely said the new space will allow Compaq to increase the manufacturing capacity of its plant in Erskine, Scotland.    "
said,e40,increase,e43,allow,wsj_0904.tml, WSJ891026-0155 ,"Mr. Swavely said the new space will allow Compaq to increase the manufacturing capacity of its plant in Erskine, Scotland.    "
buy,e13,entitle,e10,entitle,wsj_1031.tml, WSJ891026-0025 ,"Under certain circumstances, the rights would entitle Philip Morris holders to buy shares of either the company or its acquirer for half price.    "
right,e2000,warrants,e1998,entitle,wsj_0073.tml, WSJ891102-0119 ,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share. 
right,e2000,entitles,e7,entitle,wsj_0073.tml, WSJ891102-0119 ,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share. 
right,e2000,buy,e9,entitle,wsj_0073.tml, WSJ891102-0119 ,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share. 
right,e2000,buy,e8,entitle,wsj_0073.tml, WSJ891102-0119 ,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share. 
warrants,e1998,entitles,e7,entitle,wsj_0073.tml, WSJ891102-0119 ,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share. 
warrants,e1998,buy,e9,entitle,wsj_0073.tml, WSJ891102-0119 ,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share. 
warrants,e1998,buy,e8,entitle,wsj_0073.tml, WSJ891102-0119 ,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share. 
entitles,e7,buy,e9,entitle,wsj_0073.tml, WSJ891102-0119 ,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share. 
entitles,e7,buy,e8,entitle,wsj_0073.tml, WSJ891102-0119 ,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share. 
buy,e9,buy,e8,entitle,wsj_0073.tml, WSJ891102-0119 ,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share. 
right,e2000,warrants,e1998,warrant,wsj_0073.tml, WSJ891102-0119 ,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share. 
right,e2000,entitles,e7,warrant,wsj_0073.tml, WSJ891102-0119 ,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share. 
right,e2000,buy,e9,warrant,wsj_0073.tml, WSJ891102-0119 ,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share. 
right,e2000,buy,e8,warrant,wsj_0073.tml, WSJ891102-0119 ,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share. 
warrants,e1998,entitles,e7,warrant,wsj_0073.tml, WSJ891102-0119 ,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share. 
warrants,e1998,buy,e9,warrant,wsj_0073.tml, WSJ891102-0119 ,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share. 
warrants,e1998,buy,e8,warrant,wsj_0073.tml, WSJ891102-0119 ,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share. 
entitles,e7,buy,e9,warrant,wsj_0073.tml, WSJ891102-0119 ,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share. 
entitles,e7,buy,e8,warrant,wsj_0073.tml, WSJ891102-0119 ,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share. 
buy,e9,buy,e8,warrant,wsj_0073.tml, WSJ891102-0119 ,Each right entitles the shareholder  to buy $100 face amount of 13.5% bonds due 1993 and warrants  to buy 23.5 common shares at 30 cents a share. 
buy,e13,price,e29,allow,wsj_0924.tml, WSJ891026-0134 ,"Once triggered, the rights allow holders to buy additional shares at 50% of the then current market price or, at the board's discretion, to receive securities or assets.    "
buy,e13,receive,e16,allow,wsj_0924.tml, WSJ891026-0134 ,"Once triggered, the rights allow holders to buy additional shares at 50% of the then current market price or, at the board's discretion, to receive securities or assets.    "
buy,e13,triggered,e11,allow,wsj_0924.tml, WSJ891026-0134 ,"Once triggered, the rights allow holders to buy additional shares at 50% of the then current market price or, at the board's discretion, to receive securities or assets.    "
buy,e13,allow,e27,allow,wsj_0924.tml, WSJ891026-0134 ,"Once triggered, the rights allow holders to buy additional shares at 50% of the then current market price or, at the board's discretion, to receive securities or assets.    "
price,e29,receive,e16,allow,wsj_0924.tml, WSJ891026-0134 ,"Once triggered, the rights allow holders to buy additional shares at 50% of the then current market price or, at the board's discretion, to receive securities or assets.    "
price,e29,triggered,e11,allow,wsj_0924.tml, WSJ891026-0134 ,"Once triggered, the rights allow holders to buy additional shares at 50% of the then current market price or, at the board's discretion, to receive securities or assets.    "
price,e29,allow,e27,allow,wsj_0924.tml, WSJ891026-0134 ,"Once triggered, the rights allow holders to buy additional shares at 50% of the then current market price or, at the board's discretion, to receive securities or assets.    "
receive,e16,triggered,e11,allow,wsj_0924.tml, WSJ891026-0134 ,"Once triggered, the rights allow holders to buy additional shares at 50% of the then current market price or, at the board's discretion, to receive securities or assets.    "
receive,e16,allow,e27,allow,wsj_0924.tml, WSJ891026-0134 ,"Once triggered, the rights allow holders to buy additional shares at 50% of the then current market price or, at the board's discretion, to receive securities or assets.    "
triggered,e11,allow,e27,allow,wsj_0924.tml, WSJ891026-0134 ,"Once triggered, the rights allow holders to buy additional shares at 50% of the then current market price or, at the board's discretion, to receive securities or assets.    "
said,e10,allow,e14,allow,wsj_0542.tml, WSJ891030-0159 ,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.    
said,e10,offer,e12,allow,wsj_0542.tml, WSJ891030-0159 ,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.    
said,e10,mailed,e19,allow,wsj_0542.tml, WSJ891030-0159 ,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.    
said,e10,review,e17,allow,wsj_0542.tml, WSJ891030-0159 ,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.    
said,e10,extended,e11,allow,wsj_0542.tml, WSJ891030-0159 ,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.    
allow,e14,offer,e12,allow,wsj_0542.tml, WSJ891030-0159 ,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.    
allow,e14,mailed,e19,allow,wsj_0542.tml, WSJ891030-0159 ,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.    
allow,e14,review,e17,allow,wsj_0542.tml, WSJ891030-0159 ,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.    
allow,e14,extended,e11,allow,wsj_0542.tml, WSJ891030-0159 ,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.    
offer,e12,mailed,e19,allow,wsj_0542.tml, WSJ891030-0159 ,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.    
offer,e12,review,e17,allow,wsj_0542.tml, WSJ891030-0159 ,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.    
offer,e12,extended,e11,allow,wsj_0542.tml, WSJ891030-0159 ,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.    
mailed,e19,review,e17,allow,wsj_0542.tml, WSJ891030-0159 ,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.    
mailed,e19,extended,e11,allow,wsj_0542.tml, WSJ891030-0159 ,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.    
review,e17,extended,e11,allow,wsj_0542.tml, WSJ891030-0159 ,Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.    
entitle,e15,offering,e41,entitle,wsj_0798.tml, WSJ891027-0097 ,"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$31.25 a share. "
entitle,e15,said,e13,entitle,wsj_0798.tml, WSJ891027-0097 ,"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$31.25 a share. "
entitle,e15,subscribe,e17,entitle,wsj_0798.tml, WSJ891027-0097 ,"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$31.25 a share. "
offering,e41,said,e13,entitle,wsj_0798.tml, WSJ891027-0097 ,"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$31.25 a share. "
offering,e41,subscribe,e17,entitle,wsj_0798.tml, WSJ891027-0097 ,"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$31.25 a share. "
said,e13,subscribe,e17,entitle,wsj_0798.tml, WSJ891027-0097 ,"Canada's largest department store operator said the rights offering will entitle holders of its ordinary shares, except residents in the U.S. and Britain, to subscribe for two additional shares for every five shares held at a price of C$31.25 a share. "
holds,e24,subscribe,e25,entitle,wsj_0798.tml, WSJ891027-0097 ,"Hudson's Bay said that Woodbridge Co., which currently holds about 77% of the ordinary shares, will subscribe for all the shares to which it is entitled and for any shares that are n't otherwise taken up. "
holds,e24,said,e23,entitle,wsj_0798.tml, WSJ891027-0097 ,"Hudson's Bay said that Woodbridge Co., which currently holds about 77% of the ordinary shares, will subscribe for all the shares to which it is entitled and for any shares that are n't otherwise taken up. "
subscribe,e25,said,e23,entitle,wsj_0798.tml, WSJ891027-0097 ,"Hudson's Bay said that Woodbridge Co., which currently holds about 77% of the ordinary shares, will subscribe for all the shares to which it is entitled and for any shares that are n't otherwise taken up. "
approval,e5,acquire,e9,permit,wsj_0713.tml, WSJ891027-0182 ,"The approval, which had been expected, permits West Germany's second-largest bank to acquire shares of the French investment bank.    "
approval,e5,expected,e6,permit,wsj_0713.tml, WSJ891027-0182 ,"The approval, which had been expected, permits West Germany's second-largest bank to acquire shares of the French investment bank.    "
approval,e5,permits,e7,permit,wsj_0713.tml, WSJ891027-0182 ,"The approval, which had been expected, permits West Germany's second-largest bank to acquire shares of the French investment bank.    "
acquire,e9,expected,e6,permit,wsj_0713.tml, WSJ891027-0182 ,"The approval, which had been expected, permits West Germany's second-largest bank to acquire shares of the French investment bank.    "
acquire,e9,permits,e7,permit,wsj_0713.tml, WSJ891027-0182 ,"The approval, which had been expected, permits West Germany's second-largest bank to acquire shares of the French investment bank.    "
expected,e6,permits,e7,permit,wsj_0713.tml, WSJ891027-0182 ,"The approval, which had been expected, permits West Germany's second-largest bank to acquire shares of the French investment bank.    "
said,e1,declared,e2,warrant,wsj_1042.tml, WSJ891026-0014 ,AVON RENT-A-CAR amp TRUCK Corp. said it declared a dividend of one warrant for each three shares of common stock. 
issued,e7,said,e8,warrant,wsj_1042.tml, WSJ891026-0014 ,"About 1.1 million Class C warrants were issued, the company said. "
enable,e10,purchase,e12,enable,wsj_1042.tml, WSJ891026-0014 ,Each of the Class C warrants will enable the holders to purchase one share of common stock at $5.50. 
enable,e10,purchase,e12,warrant,wsj_1042.tml, WSJ891026-0014 ,Each of the Class C warrants will enable the holders to purchase one share of common stock at $5.50. 
issue,e32,exercised,e14,warrant,wsj_1042.tml, WSJ891026-0014 ,The warrants may be exercised until 90 days after their issue date. 
issue,e18,said,e17,warrant,wsj_1042.tml, WSJ891026-0014 ,"Avon also said it will issue an additional 243,677 of the Class C warrants to holders of its Class A, Class B and unclassified warrants. "
authorized,e1,payable,e12,authorize,wsj_0752.tml, WSJ891027-0143 ,"AEP INDUSTRIES Inc. directors authorized a 3-for-2 split of the common, payable Dec. 7 to stock of record Nov. 22. "
authorized,e1,split,e2,authorize,wsj_0752.tml, WSJ891027-0143 ,"AEP INDUSTRIES Inc. directors authorized a 3-for-2 split of the common, payable Dec. 7 to stock of record Nov. 22. "
authorized,e1,record,e3,authorize,wsj_0752.tml, WSJ891027-0143 ,"AEP INDUSTRIES Inc. directors authorized a 3-for-2 split of the common, payable Dec. 7 to stock of record Nov. 22. "
payable,e12,split,e2,authorize,wsj_0752.tml, WSJ891027-0143 ,"AEP INDUSTRIES Inc. directors authorized a 3-for-2 split of the common, payable Dec. 7 to stock of record Nov. 22. "
payable,e12,record,e3,authorize,wsj_0752.tml, WSJ891027-0143 ,"AEP INDUSTRIES Inc. directors authorized a 3-for-2 split of the common, payable Dec. 7 to stock of record Nov. 22. "
split,e2,record,e3,authorize,wsj_0752.tml, WSJ891027-0143 ,"AEP INDUSTRIES Inc. directors authorized a 3-for-2 split of the common, payable Dec. 7 to stock of record Nov. 22. "
provision,e634,seeking,e33,allow,AP900816-0139.tml, AP900816-0139 ,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   "
provision,e634,said,e32,allow,AP900816-0139.tml, AP900816-0139 ,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   "
provision,e634,guidance,e221,allow,AP900816-0139.tml, AP900816-0139 ,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   "
provision,e634,allows,e35,allow,AP900816-0139.tml, AP900816-0139 ,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   "
provision,e634,conference,e220,allow,AP900816-0139.tml, AP900816-0139 ,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   "
provision,e634,embargo,e223,allow,AP900816-0139.tml, AP900816-0139 ,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   "
seeking,e33,said,e32,allow,AP900816-0139.tml, AP900816-0139 ,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   "
seeking,e33,guidance,e221,allow,AP900816-0139.tml, AP900816-0139 ,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   "
seeking,e33,allows,e35,allow,AP900816-0139.tml, AP900816-0139 ,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   "
seeking,e33,conference,e220,allow,AP900816-0139.tml, AP900816-0139 ,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   "
seeking,e33,embargo,e223,allow,AP900816-0139.tml, AP900816-0139 ,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   "
said,e32,guidance,e221,allow,AP900816-0139.tml, AP900816-0139 ,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   "
said,e32,allows,e35,allow,AP900816-0139.tml, AP900816-0139 ,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   "
said,e32,conference,e220,allow,AP900816-0139.tml, AP900816-0139 ,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   "
said,e32,embargo,e223,allow,AP900816-0139.tml, AP900816-0139 ,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   "
guidance,e221,allows,e35,allow,AP900816-0139.tml, AP900816-0139 ,"At a news conference, Secretary of State James A. Baker III saidJordan `` is seeking some guidance'' about a provision in theU.N.-backed trade embargo that allows food for humanitarianpurposes.   "
